User;System;TaskName;Correct;Time
AS;FlowMatrix;Compare;yes;173
AS;FlowStrates;Compare;yes;108
AS;FlowMatrix;CompareAggr;yes;97
AS;FlowStrates;CompareAggr;yes;90
AS;FlowMatrix;PickDay;yes;42
AS;FlowStrates;PickDay;yes;36
AS;FlowMatrix;PickDayAggr;yes;91
AS;FlowStrates;PickDayAggr;yes;83
AS;FlowMatrix;PickValue;yes;49
AS;FlowStrates;PickValue;yes;52
AS;FlowMatrix;PickValueAggr;yes;43
AS;FlowStrates;PickValueAggr;yes;65
DV;FlowMatrix;Compare;no;27
DV;FlowStrates;Compare;yes;47
DV;FlowMatrix;CompareAggr;no;21
DV;FlowStrates;CompareAggr;yes;60
DV;FlowMatrix;PickDay;yes;70
DV;FlowStrates;PickDay;yes;44
DV;FlowMatrix;PickDayAggr;yes;112
DV;FlowStrates;PickDayAggr;yes;54
DV;FlowMatrix;PickValue;yes;96
DV;FlowStrates;PickValue;yes;38
DV;FlowMatrix;PickValueAggr;yes;65
DV;FlowStrates;PickValueAggr;yes;10
EM;FlowMatrix;Compare;yes;77
EM;FlowStrates;Compare;yes;93
EM;FlowMatrix;CompareAggr;yes;76
EM;FlowStrates;CompareAggr;yes;104
EM;FlowMatrix;PickDay;no;48
EM;FlowStrates;PickDay;yes;24
EM;FlowMatrix;PickDayAggr;yes;128
EM;FlowStrates;PickDayAggr;yes;56
EM;FlowMatrix;PickValue;yes;32
EM;FlowStrates;PickValue;yes;26
EM;FlowMatrix;PickValueAggr;yes;38
EM;FlowStrates;PickValueAggr;yes;66
FS;FlowMatrix;Compare;yes;141
FS;FlowStrates;Compare;yes;243
FS;FlowMatrix;CompareAggr;yes;123
FS;FlowStrates;CompareAggr;yes;159
FS;FlowMatrix;PickDay;yes;34
FS;FlowStrates;PickDay;yes;29
FS;FlowMatrix;PickDayAggr;yes;59
FS;FlowStrates;PickDayAggr;yes;122
FS;FlowMatrix;PickValue;yes;53
FS;FlowStrates;PickValue;yes;28
FS;FlowMatrix;PickValueAggr;yes;69
FS;FlowStrates;PickValueAggr;yes;67
GL;FlowMatrix;Compare;yes;108
GL;FlowStrates;Compare;yes;87
GL;FlowMatrix;CompareAggr;yes;95
GL;FlowStrates;CompareAggr;yes;169
GL;FlowMatrix;PickDay;yes;42
GL;FlowStrates;PickDay;yes;27
GL;FlowMatrix;PickDayAggr;yes;65
GL;FlowStrates;PickDayAggr;yes;53
GL;FlowMatrix;PickValue;yes;45
GL;FlowStrates;PickValue;yes;36
GL;FlowMatrix;PickValueAggr;yes;56
GL;FlowStrates;PickValueAggr;no;91
HM;FlowMatrix;Compare;yes;109
HM;FlowStrates;Compare;yes;72
HM;FlowMatrix;CompareAggr;no;290
HM;FlowStrates;CompareAggr;yes;140
HM;FlowMatrix;PickDay;yes;29
HM;FlowStrates;PickDay;yes;34
HM;FlowMatrix;PickDayAggr;yes;63
HM;FlowStrates;PickDayAggr;yes;66
HM;FlowMatrix;PickValue;yes;88
HM;FlowStrates;PickValue;yes;30
HM;FlowMatrix;PickValueAggr;yes;68
HM;FlowStrates;PickValueAggr;yes;59
RP;FlowMatrix;Compare;no;294
RP;FlowStrates;Compare;yes;98
RP;FlowMatrix;CompareAggr;yes;127
RP;FlowStrates;CompareAggr;yes;95
RP;FlowMatrix;PickDay;yes;57
RP;FlowStrates;PickDay;yes;44
RP;FlowMatrix;PickDayAggr;yes;103
RP;FlowStrates;PickDayAggr;yes;95
RP;FlowMatrix;PickValue;yes;53
RP;FlowStrates;PickValue;yes;47
RP;FlowMatrix;PickValueAggr;yes;49
RP;FlowStrates;PickValueAggr;yes;108
VR;FlowMatrix;Compare;yes;176
VR;FlowStrates;Compare;yes;31
VR;FlowMatrix;CompareAggr;yes;105
VR;FlowStrates;CompareAggr;yes;134
VR;FlowMatrix;PickDay;yes;86
VR;FlowStrates;PickDay;yes;24
VR;FlowMatrix;PickDayAggr;yes;128
VR;FlowStrates;PickDayAggr;yes;49
VR;FlowMatrix;PickValue;yes;146
VR;FlowStrates;PickValue;yes;27
VR;FlowMatrix;PickValueAggr;yes;79
VR;FlowStrates;PickValueAggr;yes;55
