Favorite Color;Favorite Music Genre;Favorite Beverage;Favorite Soft Drink;Gender
Cool;Rock;Vodka;7UP/Sprite;F
Neutral;Hip hop;Vodka;Coca Cola/Pepsi;F
Warm;Rock;Wine;Coca Cola/Pepsi;F
Warm;Folk/Traditional;Whiskey;Fanta;F
Cool;Rock;Vodka;Coca Cola/Pepsi;F
Warm;Jazz/Blues;Doesn't drink;Fanta;F
Cool;Pop;Beer;Coca Cola/Pepsi;F
Warm;Pop;Whiskey;Fanta;F
Warm;Rock;Other;7UP/Sprite;F
Neutral;Pop;Wine;Coca Cola/Pepsi;F
Cool;Pop;Other;7UP/Sprite;F
Warm;Pop;Other;7UP/Sprite;F
Warm;Pop;Wine;7UP/Sprite;F
Warm;Electronic;Wine;Coca Cola/Pepsi;F
Cool;Rock;Beer;Coca Cola/Pepsi;F
Warm;Jazz/Blues;Wine;Coca Cola/Pepsi;F
